from,to,action,p(s'a|s)
43,43,4,0.0625
43,43,0,0.0625
43,3874,1,0.125
43,765,2,0.0625
43,6247,3,0.125
43,4512,2,0.125
43,2493,5,0.0625
43,5400,2,0.0625
44,6238,0,0.5
44,3879,1,0.5
45,4703,4,0.16666666666666666
45,4703,0,0.16666666666666666
45,4703,5,0.16666666666666666
45,3453,3,0.3333333333333333
45,6428,2,0.16666666666666666
46,46,4,0.16666666666666666
46,46,0,0.16666666666666666
46,42,2,0.3333333333333333
46,5994,3,0.16666666666666666
46,868,4,0.16666666666666666
47,1457,4,1.0
48,48,1,0.125
48,48,5,0.375
48,48,3,0.125
48,48,4,0.0625
48,2260,3,0.0625
48,4195,0,0.125
48,826,0,0.0625
48,1211,2,0.0625
49,4916,2,0.0021413276231263384
49,4174,0,0.06852248394004283
49,49,4,0.15845824411134904
49,49,3,0.15631691648822268
49,49,2,0.11563169164882227
49,49,5,0.06209850107066381
49,1415,1,0.1841541755888651
49,4279,0,0.034261241970021415
49,1201,2,0.02569593147751606
49,10,5,0.12205567451820129
49,442,0,0.010706638115631691
49,3453,0,0.023554603854389723
49,2847,0,0.017130620985010708
49,3529,2,0.006423982869379015
49,5667,0,0.0021413276231263384
49,4475,3,0.0021413276231263384
49,4871,0,0.006423982869379015
49,600,1,0.0021413276231263384
50,2272,0,0.5
50,4314,1,0.5
51,51,5,0.27586206896551724
51,51,4,0.10344827586206896
51,51,2,0.1724137931034483
51,4549,1,0.13793103448275862
51,632,0,0.034482758620689655
51,1977,3,0.1724137931034483
51,6160,1,0.10344827586206896
52,4384,2,0.3333333333333333
52,2441,3,0.3333333333333333
52,4772,4,0.3333333333333333
53,3470,1,0.15555555555555556
53,53,5,0.13333333333333333
53,53,0,0.1111111111111111
53,53,4,0.2222222222222222
53,4292,2,0.15555555555555556
53,219,3,0.2
53,5096,3,0.022222222222222223
54,5274,5,0.5
54,44,4,0.5
55,5546,0,0.14130434782608695
55,3762,2,0.10144927536231885
55,5895,1,0.06884057971014493
55,55,3,0.14855072463768115
55,55,5,0.17753623188405798
55,55,4,0.14855072463768115
55,5982,2,0.04710144927536232
55,5139,1,0.050724637681159424
55,3292,2,0.03260869565217391
55,6381,0,0.007246376811594203
55,3593,1,0.025362318840579712
55,4435,1,0.014492753623188406
55,718,1,0.007246376811594203
55,5050,0,0.014492753623188406
55,6565,2,0.010869565217391304
55,1204,0,0.0036231884057971015
56,56,4,0.3333333333333333
56,2962,2,0.3333333333333333
56,5805,1,0.3333333333333333
57,57,4,0.25
57,57,5,0.25
57,57,1,0.125
57,5188,1,0.125
57,5600,3,0.125
57,5084,0,0.125
58,5225,5,1.0
59,3618,4,1.0
60,1233,1,1.0
61,4333,1,0.09523809523809523
61,77,3,0.047619047619047616
61,4394,2,0.09523809523809523
61,4394,5,0.09523809523809523
61,4394,4,0.047619047619047616
61,1608,1,0.047619047619047616
61,2051,1,0.047619047619047616
61,61,2,0.14285714285714285
61,61,5,0.047619047619047616
61,6206,0,0.14285714285714285
61,4085,1,0.09523809523809523
61,2861,1,0.047619047619047616
61,5861,3,0.047619047619047616
62,62,4,0.08823529411764706
62,62,3,0.23529411764705882
62,62,5,0.14705882352941177
62,62,0,0.14705882352941177
62,4799,1,0.058823529411764705
62,6147,4,0.029411764705882353
62,6147,5,0.029411764705882353
62,6147,0,0.029411764705882353
62,1823,2,0.029411764705882353
62,3350,1,0.14705882352941177
62,3924,2,0.058823529411764705
63,2536,4,0.5
63,2536,5,0.5
64,4840,2,1.0
65,65,4,0.4
65,65,0,0.2
65,6378,2,0.4
66,4519,0,0.3333333333333333
66,3784,3,0.3333333333333333
66,2638,1,0.3333333333333333
67,5205,0,0.21052631578947367
67,2566,3,0.15789473684210525
67,2566,4,0.10526315789473684
67,2566,5,0.05263157894736842
67,6196,1,0.05263157894736842
67,3284,0,0.05263157894736842
67,3284,3,0.05263157894736842
67,4276,2,0.10526315789473684
67,4170,2,0.05263157894736842
67,3105,0,0.10526315789473684
67,67,5,0.05263157894736842
68,1033,2,0.06521739130434782
68,68,4,0.2826086956521739
68,68,0,0.13043478260869565
68,68,5,0.17391304347826086
68,735,3,0.15217391304347827
68,6121,3,0.021739130434782608
68,5219,1,0.043478260869565216
68,2930,1,0.13043478260869565
69,3795,5,0.16666666666666666
69,3795,1,0.16666666666666666
69,3795,3,0.16666666666666666
69,3795,4,0.16666666666666666
69,3051,4,0.16666666666666666
69,69,1,0.16666666666666666
70,2747,2,1.0
71,71,1,0.5
71,71,5,0.2
71,6587,3,0.2
71,3638,2,0.1
72,72,5,0.5
72,1303,3,0.5
73,800,3,0.011799410029498525
73,3772,1,0.17404129793510326
73,73,2,0.1504424778761062
73,73,4,0.15339233038348082
73,6566,0,0.035398230088495575
73,4002,5,0.017699115044247787
73,5957,0,0.017699115044247787
73,5984,3,0.13569321533923304
73,4704,5,0.13864306784660768
73,2066,0,0.0029498525073746312
73,1047,3,0.011799410029498525
73,3466,0,0.1415929203539823
73,4706,3,0.0058997050147492625
73,2029,3,0.0029498525073746312
74,6216,5,0.12041884816753927
74,74,4,0.15706806282722513
74,74,0,0.1256544502617801
74,74,3,0.020942408376963352
74,74,5,0.02617801047120419
74,3318,2,0.16753926701570682
74,4604,3,0.04712041884816754
74,3825,1,0.09424083769633508
74,5284,0,0.03664921465968586
74,5284,4,0.010471204188481676
74,3080,1,0.06806282722513089
74,4023,3,0.05759162303664921
74,4929,3,0.020942408376963352
74,4477,2,0.005235602094240838
74,911,3,0.005235602094240838
74,1135,3,0.005235602094240838
74,5555,1,0.005235602094240838
74,2988,5,0.005235602094240838
74,6516,3,0.010471204188481676
74,1522,1,0.005235602094240838
74,5759,1,0.005235602094240838
75,1559,3,1.0
76,1439,1,0.037267080745341616
76,2253,0,0.08074534161490683
76,2253,5,0.13043478260869565
76,2253,4,0.062111801242236024
76,2123,1,0.055900621118012424
76,3984,2,0.15527950310559005
76,76,5,0.09937888198757763
76,76,0,0.043478260869565216
76,76,4,0.09316770186335403
76,5779,3,0.031055900621118012
76,3548,3,0.13043478260869565
76,4307,3,0.018633540372670808
76,5584,1,0.006211180124223602
76,4893,3,0.006211180124223602
76,6497,2,0.012422360248447204
76,10,3,0.012422360248447204
76,2229,2,0.006211180124223602
76,3088,2,0.006211180124223602
76,766,3,0.006211180124223602
76,5267,2,0.006211180124223602
77,151,3,0.16
77,77,5,0.2
77,77,4,0.2
77,77,1,0.08
77,1373,4,0.04
77,6154,0,0.16
77,3952,3,0.08
77,804,3,0.04
77,61,2,0.04
78,2821,3,1.0
79,3893,0,0.3333333333333333
79,79,1,0.3333333333333333
79,61,2,0.16666666666666666
79,1938,2,0.16666666666666666
80,6069,5,1.0
81,3213,2,1.0
82,1469,1,0.07692307692307693
82,5934,3,0.038461538461538464
82,82,5,0.07692307692307693
82,82,0,0.07692307692307693
82,82,4,0.11538461538461539
