from,to,action,p(s'a|s)
79,902,1,0.0029717682020802376
79,458,1,0.0029717682020802376
79,95,3,0.0014858841010401188
80,517,5,0.5
80,1628,3,0.5
81,291,4,1.0
82,2397,5,0.5
82,2397,2,0.5
83,1772,3,0.25
83,41,3,0.125
83,50,1,0.125
83,83,0,0.25
83,2338,1,0.125
83,774,1,0.125
84,1415,3,0.1875
84,84,4,0.375
84,84,5,0.0625
84,84,2,0.0625
84,2427,1,0.125
84,1842,0,0.125
84,2000,1,0.0625
85,85,5,0.1643835616438356
85,85,2,0.18493150684931506
85,85,4,0.1643835616438356
85,2540,0,0.1095890410958904
85,1661,1,0.1095890410958904
85,1537,3,0.10273972602739725
85,1537,2,0.00684931506849315
85,765,0,0.03424657534246575
85,545,1,0.1095890410958904
85,2567,1,0.00684931506849315
85,1749,0,0.00684931506849315
86,2378,3,0.09523809523809523
86,2371,2,0.09523809523809523
86,2371,5,0.09523809523809523
86,1222,3,0.19047619047619047
86,86,5,0.09523809523809523
86,86,4,0.19047619047619047
86,86,2,0.047619047619047616
86,2162,1,0.047619047619047616
86,1774,1,0.047619047619047616
86,365,1,0.047619047619047616
86,1076,1,0.047619047619047616
87,1625,2,0.17209982928217218
87,87,4,0.1570604015933664
87,87,3,0.16746605966994554
87,929,0,0.16811641329973173
87,637,5,0.1602308755385741
87,1167,1,0.1404763840338184
87,37,1,0.014063897244126494
87,609,1,0.010649540687748963
87,1019,5,0.0009755304446792943
87,902,1,0.004471181204780099
87,2542,5,0.00430859279733355
87,2200,1,8.129420372327454e-05
88,1210,4,0.07142857142857142
88,1210,5,0.07142857142857142
88,0,4,0.14285714285714285
88,0,5,0.07142857142857142
88,994,0,0.07142857142857142
88,88,5,0.14285714285714285
88,88,1,0.07142857142857142
88,2576,0,0.07142857142857142
88,2576,3,0.07142857142857142
88,1109,2,0.07142857142857142
88,1109,3,0.07142857142857142
88,2060,0,0.07142857142857142
89,324,2,0.5
89,324,4,0.5
90,1387,2,0.3333333333333333
90,1387,4,0.3333333333333333
90,1387,5,0.3333333333333333
91,764,0,1.0
92,2384,5,0.13333333333333333
92,2384,3,0.13333333333333333
92,2384,0,0.13333333333333333
92,2384,4,0.06666666666666667
92,1838,0,0.06666666666666667
92,1089,1,0.26666666666666666
92,573,0,0.06666666666666667
92,92,5,0.06666666666666667
92,92,2,0.06666666666666667
93,1946,1,0.3333333333333333
93,1036,2,0.3333333333333333
93,1632,4,0.3333333333333333
94,1724,2,1.0
95,730,4,0.3
95,730,3,0.1
95,458,1,0.2
95,387,0,0.1
95,79,2,0.2
95,1705,2,0.1
96,96,5,0.175
96,96,4,0.175
96,96,1,0.125
96,2658,3,0.175
96,2658,2,0.2
96,356,0,0.1
96,1727,0,0.05
97,1288,0,0.09090909090909091
97,97,4,0.18181818181818182
97,97,2,0.2727272727272727
97,2465,1,0.18181818181818182
97,149,3,0.2727272727272727
98,98,5,0.5
98,1690,0,0.5
99,774,1,0.07482993197278912
99,99,5,0.19047619047619047
99,99,4,0.14285714285714285
99,99,2,0.2108843537414966
99,1448,1,0.04081632653061224
99,1772,3,0.1564625850340136
99,1061,1,0.027210884353741496
99,1984,0,0.1564625850340136
100,2088,1,1.0
101,1400,4,0.058823529411764705
101,101,5,0.17647058823529413
101,101,3,0.11764705882352941
101,101,4,0.23529411764705882
101,2630,5,0.058823529411764705
101,2630,4,0.058823529411764705
101,2630,3,0.058823529411764705
101,2011,0,0.17647058823529413
101,2270,0,0.058823529411764705
102,102,3,0.12096774193548387
102,102,4,0.1693548387096774
102,102,2,0.04838709677419355
102,2128,1,0.12096774193548387
102,2326,5,0.08064516129032258
102,1448,3,0.03225806451612903
102,1448,0,0.008064516129032258
102,163,1,0.08870967741935484
102,1061,0,0.04838709677419355
102,774,2,0.13709677419354838
102,1893,5,0.016129032258064516
102,2658,5,0.024193548387096774
102,2532,0,0.008064516129032258
102,1304,1,0.016129032258064516
102,308,5,0.008064516129032258
102,1984,0,0.056451612903225805
102,1727,5,0.016129032258064516
103,2440,2,1.0
104,1375,1,0.3333333333333333
104,104,0,0.3333333333333333
104,2278,3,0.3333333333333333
105,1308,0,0.16666666666666666
105,105,2,0.16666666666666666
105,105,3,0.3333333333333333
105,105,4,0.08333333333333333
105,1660,1,0.16666666666666666
105,2017,5,0.08333333333333333
106,106,3,0.5
106,1729,2,0.5
107,107,5,0.15204678362573099
107,107,0,0.1695906432748538
107,107,4,0.17543859649122806
107,1013,2,0.17543859649122806
107,821,3,0.17543859649122806
107,1666,1,0.07017543859649122
107,1402,1,0.05847953216374269
107,1768,1,0.005847953216374269
107,2546,1,0.017543859649122806
108,108,4,0.5
108,2499,1,0.5
109,1941,0,0.25
109,989,3,0.25
109,815,0,0.25
109,2257,5,0.25
110,110,4,0.5
110,2132,0,0.5
111,111,5,0.125
111,2569,4,0.125
111,2569,3,0.25
111,197,0,0.125
111,411,0,0.125
111,643,2,0.125
111,831,0,0.125
112,165,5,1.0
113,1978,2,0.34615384615384615
113,407,1,0.34615384615384615
113,113,4,0.19230769230769232
113,113,3,0.038461538461538464
113,2469,0,0.07692307692307693
114,63,3,0.3333333333333333
114,114,5,0.3333333333333333
114,425,4,0.3333333333333333
115,2585,1,0.07142857142857142
115,115,0,0.14285714285714285
115,115,4,0.2857142857142857
115,1026,2,0.14285714285714285
115,560,5,0.07142857142857142
115,171,5,0.21428571428571427
115,2055,1,0.07142857142857142
116,1402,2,0.28125
116,116,5,0.15625
116,116,4,0.1875
116,116,1,0.125
116,1719,3,0.15625
116,1768,0,0.0625
116,1666,0,0.03125
117,1596,3,0.05555555555555555
117,429,1,0.05555555555555555
117,117,5,0.1111111111111111
117,117,2,0.1111111111111111
117,117,4,0.16666666666666666
117,684,3,0.3888888888888889
117,870,0,0.05555555555555555
117,414,1,0.05555555555555555
118,182,3,0.06666666666666667
118,2424,1,0.06666666666666667
118,232,1,0.06666666666666667
118,1577,2,0.13333333333333333
118,118,0,0.2
118,118,5,0.06666666666666667
118,118,4,0.06666666666666667
118,571,1,0.06666666666666667
118,1968,4,0.13333333333333333
118,1968,5,0.13333333333333333
119,1578,3,1.0
120,1300,0,1.0
121,991,1,0.15737233903617603
121,121,4,0.1662531017369727
121,121,2,0.16716729789734883
121,121,3,0.1659919028340081
121,121,5,0.05015018936920465
121,121,0,0.047668799791040876
121,224,5,0.11179313046885203
121,2370,0,0.11505811675590963
121,2597,0,0.007444168734491315
121,2389,0,0.006791171477079796
121,1720,1,0.0015671934177876453
121,833,0,0.0005223978059292151
121,2183,3,0.0002611989029646076
121,2183,4,0.0005223978059292151
121,2183,2,0.0001305994514823038
121,799,5,0.0002611989029646076
121,201,1,0.0009141961603761264
121,2568,1,0.0001305994514823038
122,122,5,0.5
122,1253,5,0.5
123,245,3,1.0
124,124,5,0.2857142857142857
124,124,4,0.21428571428571427
124,124,0,0.07142857142857142
124,1325,1,0.21428571428571427
124,832,2,0.07142857142857142
124,2019,3,0.14285714285714285
125,125,5,0.14516129032258066
125,125,4,0.16129032258064516
125,125,0,0.16129032258064516
125,998,3,0.14516129032258066
125,1586,2,0.1935483870967742
125,2298,1,0.04838709677419355
125,2295,1,0.0967741935483871
125,2046,1,0.04838709677419355
126,126,4,0.15789473684210525
126,126,2,0.18421052631578946
126,126,5,0.23684210526315788
126,126,3,0.13157894736842105
126,2692,0,0.21052631578947367
126,147,1,0.07894736842105263
127,127,4,0.3333333333333333
127,127,1,0.16666666666666666
127,127,5,0.16666666666666666
127,2660,0,0.3333333333333333
128,2494,2,0.169849931787176
128,2494,3,0.006480218281036835
128,128,0,0.004092769440654843
128,128,5,0.1708731241473397
128,128,3,0.14870395634379263
128,128,4,0.1664392905866303
128,2682,4,0.002728512960436562
128,2682,5,0.001364256480218281
128,2682,3,0.0006821282401091405
128,2643,0,0.14085948158253753
128,17,0,0.010572987721691678
128,1992,1,0.10402455661664393
128,1235,0,0.004433833560709414
128,924,1,0.00034106412005457026
128,1752,1,0.018076398362892224
128,2541,0,0.01330150068212824
128,2588,1,0.03274215552523874
128,2491,1,0.0017053206002728514
128,1065,2,0.0006821282401091405
128,1065,3,0.00034106412005457026
128,313,0,0.00034106412005457026
128,970,0,0.0006821282401091405
128,177,0,0.0006821282401091405
129,266,5,0.3333333333333333
129,129,5,0.3333333333333333
129,1250,1,0.3333333333333333
130,130,2,0.16666666666666666
130,130,5,0.16666666666666666
130,130,4,0.16666666666666666
130,1692,3,0.16666666666666666
130,1364,1,0.16666666666666666
130,800,0,0.16666666666666666
131,2602,1,0.05555555555555555
131,878,0,0.08333333333333333
131,131,3,0.1111111111111111
131,131,5,0.08333333333333333
131,1302,1,0.1111111111111111
131,629,2,0.08333333333333333
131,248,1,0.08333333333333333
131,1418,1,0.05555555555555555
131,378,0,0.1111111111111111
131,1780,3,0.05555555555555555
131,1780,5,0.08333333333333333
131,594,0,0.027777777777777776
131,702,2,0.027777777777777776
131,2100,4,0.027777777777777776
132,132,4,0.125
132,132,5,0.125
132,132,2,0.125
132,2254,0,0.125
132,2507,3,0.25
132,2139,3,0.125
132,1657,4,0.125
133,1568,3,1.0
134,559,4,0.16363636363636364
134,559,5,0.15151515151515152
134,559,3,0.18787878787878787
134,559,2,0.13333333333333333
134,1934,1,0.15151515151515152
134,1767,0,0.12121212121212122
134,134,5,0.006060606060606061
134,134,2,0.01818181818181818
134,134,4,0.012121212121212121
134,134,3,0.024242424242424242
134,1693,0,0.030303030303030304
135,349,2,0.6666666666666666
135,746,5,0.3333333333333333
136,254,5,1.0
137,1874,1,0.025
137,1982,3,0.2
137,137,2,0.1
137,137,5,0.175
137,137,4,0.05
137,1440,5,0.05
137,1440,4,0.025
137,1440,2,0.025
137,2219,0,0.075
137,749,0,0.025
137,1972,5,0.025
137,2089,1,0.025
137,2010,2,0.025
137,2010,5,0.025
137,2010,4,0.025
137,1917,0,0.025
137,254,1,0.05
137,2661,0,0.025
137,2669,1,0.025
138,516,2,0.5
138,1473,4,0.5
139,1311,5,0.5
139,954,0,0.5
140,336,0,0.28125
140,140,5,0.0625
140,140,3,0.125
140,140,2,0.1875
140,140,4,0.21875
140,706,5,0.03125
140,334,1,0.09375
141,1423,5,0.09523809523809523
141,1444,1,0.047619047619047616
141,1315,0,0.09523809523809523
141,141,4,0.14285714285714285
141,141,2,0.14285714285714285
141,141,5,0.047619047619047616
141,670,0,0.23809523809523808
141,1228,1,0.047619047619047616
141,699,0,0.047619047619047616
141,1435,3,0.09523809523809523
142,142,5,0.3333333333333333
142,1908,1,0.3333333333333333
142,1226,3,0.3333333333333333
143,147,1,1.0
144,144,1,0.5
144,1929,0,0.16666666666666666
144,297,2,0.16666666666666666
144,297,3,0.16666666666666666
145,1455,0,0.0013245033112582781
145,145,2,0.1509933774834437
145,145,4,0.18410596026490067
145,145,5,0.08874172185430464
145,145,0,0.0026490066225165563
145,1327,5,0.06622516556291391
145,644,1,0.10860927152317881
145,150,3,0.16821192052980133
145,150,2,0.009271523178807948
145,2336,0,0.025165562913907286
145,1009,0,0.0026490066225165563
145,996,0,0.07947019867549669
145,1965,1,0.046357615894039736
145,2136,4,0.007947019867549669
145,2136,2,0.0026490066225165563
145,2308,3,0.003973509933774834
145,2664,0,0.02119205298013245
145,2649,1,0.017218543046357615
145,2558,1,0.0026490066225165563
145,12,5,0.003973509933774834
145,482,0,0.005298013245033113
145,1489,0,0.0013245033112582781
146,1491,4,1.0
147,268,2,0.07142857142857142
147,268,0,0.03571428571428571
147,147,4,0.2857142857142857
147,147,5,0.10714285714285714
147,147,1,0.10714285714285714
147,918,3,0.25
147,918,2,0.07142857142857142
147,126,0,0.07142857142857142
148,544,2,0.125
148,439,3,0.25
148,444,1,0.125
148,148,3,0.125
148,240,1,0.125
148,1804,0,0.25
149,1288,0,0.3333333333333333
149,1608,5,0.6666666666666666
150,150,4,0.15802781289506954
150,150,5,0.14538558786346398
150,150,2,0.09608091024020228
150,150,3,0.09608091024020228
150,145,2,0.08091024020227561
150,145,0,0.0037926675094816687
